,zVIX,zCRED,zMOVE,zDXY,composite_eqw,composite_pca1,state_eqw,state_pca1
2007-04-11,,,,,,,,
2007-04-12,,,,,,,,
2007-04-13,,,,,,,,
2007-04-16,,,,,,,,
2007-04-17,,,,,,,,
2007-04-18,,,,,,,,
2007-04-19,,,,,,,,
2007-04-20,,,,,,,,
2007-04-23,,,,,,,,
2007-04-24,,,,,,,,
2007-04-25,,,,,,,,
2007-04-26,,,,,,,,
2007-04-27,,,,,,,,
2007-04-30,,,,,,,,
2007-05-01,,,,,,,,
2007-05-02,,,,,,,,
2007-05-03,,,,,,,,
2007-05-04,,,,,,,,
2007-05-07,,,,,,,,
2007-05-08,,,,,,,,
2007-05-09,,,,,,,,
2007-05-10,,,,,,,,
2007-05-11,,,,,,,,
2007-05-14,,,,,,,,
2007-05-15,,,,,,,,
2007-05-16,,,,,,,,
2007-05-17,,,,,,,,
2007-05-18,,,,,,,,
2007-05-21,,,,,,,,
2007-05-22,,,,,,,,
2007-05-23,,,,,,,,
2007-05-24,,,,,,,,
2007-05-25,,,,,,,,
2007-05-29,,,,,,,,
